gregorian calendar dates,persian calander dates,first price recorded on the day,lowest price recorded on the day,highest price recorded during the day,last price recorded on the day
2013/12/11,1392/09/20,29480,29380,29480,29390
2013/12/12,1392/09/21,29370,29350,29370,29350
2013/12/14,1392/09/23,29350,29350,29560,29560
2013/12/15,1392/09/24,29600,29520,29600,29520
2013/12/16,1392/09/25,29510,29470,29510,29470
2013/12/17,1392/09/26,29440,29420,29470,29440
2013/12/18,1392/09/27,29460,29430,29490,29490
2013/12/19,1392/09/28,29480,29440,29480,29450
2013/12/21,1392/09/30,29460,29410,29460,29450
2013/12/22,1392/10/01,29420,29420,29560,29560
2013/12/24,1392/10/03,29570,29570,29720,29710
2013/12/25,1392/10/04,29710,29630,29710,29670
2013/12/26,1392/10/05,29660,29660,30010,30010
2013/12/28,1392/10/07,29930,29850,29990,29950
2013/12/29,1392/10/08,29960,29960,30230,30150
2013/12/30,1392/10/09,30160,30060,30160,30060
2013/12/31,1392/10/10,30080,30070,30080,30070
2014/01/01,1392/10/11,30030,29990,30040,30000
2014/01/02,1392/10/12,29920,29920,29920,29920
2014/01/04,1392/10/14,29940,29740,29950,29760
2014/01/05,1392/10/15,29770,29660,29770,29740
2014/01/06,1392/10/16,29730,29730,29820,29800
2014/01/07,1392/10/17,29790,29790,29850,29850
2014/01/08,1392/10/18,29850,29820,29920,29900
2014/01/09,1392/10/19,29880,29800,29910,29800
2014/01/11,1392/10/21,29780,29760,29830,29800
2014/01/12,1392/10/22,29840,29780,29840,29790
2014/01/13,1392/10/23,29780,29500,29780,29560
2014/01/14,1392/10/24,29600,29600,29680,29630
2014/01/15,1392/10/25,29640,29560,29640,29570
2014/01/16,1392/10/26,29580,29570,29610,29570
2014/01/18,1392/10/28,29560,29380,29560,29390
2014/01/19,1392/10/29,29360,29360,29360,29360
2014/01/20,1392/10/30,29230,28880,29230,28880
2014/01/21,1392/11/01,28890,28890,29380,29340
2014/01/22,1392/11/02,29320,29280,29650,29510
2014/01/23,1392/11/03,29480,29360,29490,29400
2014/01/25,1392/11/05,29440,29440,29640,29520
2014/01/26,1392/11/06,29540,29410,29550,29450
2014/01/27,1392/11/07,29460,29410,29490,29490
2014/01/28,1392/11/08,29470,29440,29510,29480
2014/01/29,1392/11/09,29490,29420,29510,29420
2014/01/30,1392/11/10,29410,29320,29430,29350
2014/01/31,1392/11/11,29340,29330,29400,29380
2014/02/01,1392/11/12,29370,29350,29440,29420
2014/02/02,1392/11/13,29410,29400,29480,29460
2014/02/03,1392/11/14,29460,29460,29580,29540
2014/02/04,1392/11/15,29520,29460,29530,29470
2014/02/05,1392/11/16,29460,29460,29510,29510
2014/02/06,1392/11/17,29500,29490,29600,29590
2014/02/07,1392/11/18,29620,29580,29630,29600
2014/02/08,1392/11/19,29580,29520,29600,29540
2014/02/09,1392/11/20,29530,29430,29540,29460
2014/02/10,1392/11/21,29450,29420,29520,29510
2014/02/11,1392/11/22,29500,29500,29510,29500
2014/02/12,1392/11/23,29510,29490,29560,29540
2014/02/13,1392/11/24,29550,29480,29550,29520
2014/02/14,1392/11/25,29530,29530,29550,29530
2014/02/15,1392/11/26,29560,29520,29610,29580
2014/02/16,1392/11/27,29570,29480,29570,29480
2014/02/17,1392/11/28,29500,29440,29530,29520
2014/02/18,1392/11/29,29540,29500,29570,29520
2014/02/19,1392/11/30,29500,29480,29540,29520
2014/02/20,1392/12/01,29500,29500,29530,29530
2014/02/21,1392/12/02,29520,29500,29520,29500
2014/02/22,1392/12/03,29520,29510,29580,29560
2014/02/23,1392/12/04,29580,29560,29620,29600
2014/02/24,1392/12/05,29580,29580,29850,29840
2014/02/25,1392/12/06,29860,29860,30150,29900
2014/02/26,1392/12/07,29890,29840,29960,29880
2014/02/27,1392/12/08,29890,29860,30090,30090
2014/02/28,1392/12/09,30120,30060,30120,30100
2014/03/01,1392/12/10,30140,30100,30500,30450
2014/03/02,1392/12/11,30430,30310,30600,30590
2014/03/03,1392/12/12,30660,30630,31270,31070
2014/03/04,1392/12/13,31000,30500,31140,30640
2014/03/05,1392/12/14,30620,30500,30620,30520
2014/03/06,1392/12/15,30500,30430,30530,30490
2014/03/07,1392/12/16,30470,30460,30510,30460
2014/03/08,1392/12/17,30430,30060,30430,30060
2014/03/09,1392/12/18,29970,29970,30440,30440
2014/03/10,1392/12/19,30430,30360,30790,30710
2014/03/11,1392/12/20,30750,30450,30910,30550
2014/03/12,1392/12/21,30560,30330,30640,30370
2014/03/13,1392/12/22,30400,30290,30430,30360
2014/03/14,1392/12/23,30390,30390,30500,30440
2014/03/15,1392/12/24,30450,30020,30450,30080
2014/03/16,1392/12/25,30060,29800,30250,30200
2014/03/17,1392/12/26,30190,29960,30190,29960
2014/03/18,1392/12/27,30000,29950,30140,30000
2014/03/19,1392/12/28,30060,30030,30150,30140
2014/03/20,1392/12/29,30100,30100,30200,30170
2014/03/23,1393/01/03,30250,30250,30270,30270
2014/03/24,1393/01/04,30250,30180,30250,30180
2014/03/25,1393/01/05,30200,30200,30300,30300
2014/03/26,1393/01/06,30400,30350,30530,30500
2014/03/27,1393/01/07,30560,30560,30690,30580
2014/03/28,1393/01/08,30570,30570,30570,30570
2014/03/29,1393/01/09,30550,30460,30550,30470
2014/03/30,1393/01/10,30480,30410,30500,30490
2014/03/31,1393/01/11,30500,30500,30650,30640
2014/04/01,1393/01/12,30630,30600,30640,30630
2014/04/03,1393/01/14,30610,30610,30610,30610
2014/04/05,1393/01/16,30570,30450,30580,30480
2014/04/06,1393/01/17,30490,30260,30490,30430
2014/04/07,1393/01/18,30410,30370,30650,30580
2014/04/08,1393/01/19,30570,30540,30900,30900
2014/04/09,1393/01/20,30960,30790,31160,30800
2014/04/10,1393/01/21,30820,30720,30900,30810
2014/04/11,1393/01/22,30800,30790,30810,30790
2014/04/12,1393/01/23,30780,30750,31160,31140
2014/04/13,1393/01/24,31150,31030,31280,31210
2014/04/14,1393/01/25,31240,31180,31380,31300
2014/04/15,1393/01/26,31230,31230,31800,31800
2014/04/16,1393/01/27,31840,31560,32000,31560
2014/04/17,1393/01/28,31570,31540,31780,31710
2014/04/18,1393/01/29,31720,31670,31740,31730
2014/04/19,1393/01/30,31750,31740,31960,31790
2014/04/20,1393/01/31,31820,31820,32170,32090
2014/04/21,1393/02/01,32080,31950,32400,32400
2014/04/22,1393/02/02,32490,32490,33160,33160
2014/04/23,1393/02/03,33200,32630,33470,32650
2014/04/24,1393/02/04,32730,32300,32900,32540
2014/04/25,1393/02/05,32580,32350,32630,32480
2014/04/26,1393/02/06,32430,32430,32800,32800
2014/04/27,1393/02/07,32780,32780,33600,33350
2014/04/28,1393/02/08,33280,32750,33390,32820
2014/04/29,1393/02/09,32760,32590,32960,32950
2014/04/30,1393/02/10,32940,32840,33010,32980
2014/05/01,1393/02/11,32950,32900,33100,33100
2014/05/02,1393/02/12,33120,33100,33150,33130
2014/05/03,1393/02/13,33150,33120,33290,33150
2014/05/04,1393/02/14,33100,32780,33160,32780
2014/05/05,1393/02/15,32820,32720,33160,33140
2014/05/06,1393/02/16,33150,32930,33300,33040
2014/05/07,1393/02/17,33030,32840,33050,32910
2014/05/08,1393/02/18,32800,32790,32930,32900
2014/05/09,1393/02/19,32910,32860,32910,32870
2014/05/10,1393/02/20,32880,32580,32950,32580
2014/05/11,1393/02/21,32570,32320,32680,32360
2014/05/12,1393/02/22,32400,32270,32610,32490
2014/05/13,1393/02/23,32470,32450,32500,32480
2014/05/14,1393/02/24,32490,32360,32560,32370
2014/05/15,1393/02/25,32390,32350,32450,32450
2014/05/16,1393/02/26,32470,32470,33020,32930
2014/05/17,1393/02/27,32940,32920,33200,32990
2014/05/18,1393/02/28,33000,32680,33020,32760
2014/05/19,1393/02/29,32740,32720,32850,32820
2014/05/20,1393/02/30,32810,32730,32950,32940
2014/05/21,1393/02/31,32920,32860,33080,32900
2014/05/22,1393/03/01,32880,32840,32920,32870
2014/05/23,1393/03/02,32880,32830,32920,32830
2014/05/24,1393/03/03,32820,32700,32840,32740
2014/05/25,1393/03/04,32760,32700,32860,32820
2014/05/26,1393/03/05,32850,32800,32890,32830
2014/05/27,1393/03/06,32820,32750,32830,32770
2014/05/28,1393/03/07,32780,32640,32780,32670
2014/05/29,1393/03/08,32660,32620,32780,32780
2014/05/30,1393/03/09,32790,32740,32800,32770
2014/05/31,1393/03/10,32770,32720,32790,32760
2014/06/01,1393/03/11,32770,32760,32830,32810
2014/06/02,1393/03/12,32800,32790,32850,32820
2014/06/03,1393/03/13,32810,32790,32840,32800
2014/06/04,1393/03/14,32820,32810,32830,32830
2014/06/06,1393/03/16,32840,32830,32850,32830
2014/06/07,1393/03/17,32840,32610,32850,32620
2014/06/08,1393/03/18,32600,32350,32600,32450
2014/06/09,1393/03/19,32430,32290,32460,32320
2014/06/10,1393/03/20,32290,32060,32400,32400
2014/06/11,1393/03/21,32410,32340,32500,32400
2014/06/12,1393/03/22,32420,32410,32460,32450
2014/06/13,1393/03/23,32440,32410,32440,32430
2014/06/14,1393/03/24,32420,32180,32420,32190
2014/06/15,1393/03/25,32160,32120,32230,32120
2014/06/16,1393/03/26,32050,31790,32120,31790
2014/06/17,1393/03/27,31780,31770,32110,32040
2014/06/18,1393/03/28,32000,31900,32170,31930
2014/06/19,1393/03/29,31980,31800,32190,32110
2014/06/20,1393/03/30,32100,32010,32290,32290
2014/06/21,1393/03/31,32330,32040,32340,32070
2014/06/22,1393/04/01,32050,31790,32050,31920
2014/06/23,1393/04/02,31880,31690,31920,31720
2014/06/24,1393/04/03,31740,31600,31770,31670
2014/06/25,1393/04/04,31650,31600,31730,31670
2014/06/26,1393/04/05,31650,31620,31720,31650
2014/06/27,1393/04/06,31670,31670,31700,31690
2014/06/28,1393/04/07,31680,31390,31680,31390
2014/06/29,1393/04/08,31380,31080,31380,31180
2014/06/30,1393/04/09,31160,30900,31160,31140
2014/07/01,1393/04/10,31160,30920,31230,31180
2014/07/02,1393/04/11,31190,31110,31500,31330
2014/07/03,1393/04/12,31360,31260,31480,31270
2014/07/04,1393/04/13,31240,31200,31340,31260
2014/07/05,1393/04/14,31250,30940,31290,30960
2014/07/06,1393/04/15,30920,30770,31010,30950
2014/07/07,1393/04/16,30990,30980,31310,31260
2014/07/08,1393/04/17,31300,31140,31500,31180
2014/07/09,1393/04/18,31190,30990,31270,31050
2014/07/10,1393/04/19,31100,31000,31140,31020
2014/07/11,1393/04/20,31000,31000,31110,31060
2014/07/12,1393/04/21,31010,30970,31240,31220
2014/07/13,1393/04/22,31200,31170,31420,31360
2014/07/14,1393/04/23,31350,31220,31350,31230
2014/07/15,1393/04/24,31200,31110,31230,31170
2014/07/16,1393/04/25,31180,31170,31470,31360
2014/07/17,1393/04/26,31390,31330,31430,31430
2014/07/18,1393/04/27,31440,31430,31640,31560
2014/07/19,1393/04/28,31580,31300,31580,31340
2014/07/20,1393/04/29,31300,31210,31370,31310
2014/07/21,1393/04/30,31280,31270,31370,31330
2014/07/22,1393/04/31,31320,31270,31350,31330
2014/07/23,1393/05/01,31280,31240,31360,31330
2014/07/24,1393/05/02,31340,31320,31410,31390
2014/07/25,1393/05/03,31370,31360,31390,31380
2014/07/26,1393/05/04,31390,31350,31410,31390
2014/07/27,1393/05/05,31380,31320,31410,31370
2014/07/28,1393/05/06,31350,31250,31370,31290
2014/07/29,1393/05/07,31310,31260,31310,31260
2014/07/30,1393/05/08,31250,31230,31250,31240
2014/07/31,1393/05/09,31250,31200,31250,31230
2014/08/02,1393/05/11,31200,31200,31300,31290
2014/08/03,1393/05/12,31330,31290,31400,31400
2014/08/04,1393/05/13,31390,31380,31490,31420
2014/08/05,1393/05/14,31410,31370,31450,31400
2014/08/06,1393/05/15,31380,31340,31410,31400
2014/08/07,1393/05/16,31350,31320,31370,31320
2014/08/08,1393/05/17,31310,31310,31350,31320
2014/08/09,1393/05/18,31310,31260,31340,31300
2014/08/10,1393/05/19,31290,31200,31300,31220
2014/08/11,1393/05/20,31190,31170,31290,31250
2014/08/12,1393/05/21,31260,31190,31280,31190
2014/08/13,1393/05/22,31210,31200,31270,31270
2014/08/14,1393/05/23,31230,31170,31230,31180
2014/08/15,1393/05/24,31170,31170,31190,31190
2014/08/16,1393/05/25,31180,31090,31200,31090
2014/08/17,1393/05/26,31080,31000,31090,31020
2014/08/18,1393/05/27,31010,30960,31070,31070
2014/08/19,1393/05/28,31060,31030,31150,31050
2014/08/20,1393/05/29,31040,30910,31090,30930
2014/08/21,1393/05/30,30940,30900,30960,30920
2014/08/22,1393/05/31,30910,30890,30920,30910
2014/08/23,1393/06/01,30920,30910,31230,31210
2014/08/24,1393/06/02,31190,31130,31330,31160
2014/08/25,1393/06/03,31150,31120,31350,31330
2014/08/26,1393/06/04,31310,31210,31330,31270
2014/08/27,1393/06/05,31280,31220,31300,31300
2014/08/28,1393/06/06,31310,31250,31330,31300
2014/08/29,1393/06/07,31310,31300,31420,31420
2014/08/30,1393/06/08,31410,31410,31680,31590
2014/08/31,1393/06/09,31580,31480,31590,31500
2014/09/01,1393/06/10,31470,31390,31500,31480
2014/09/02,1393/06/11,31470,31470,31750,31730
2014/09/03,1393/06/12,31750,31670,31860,31720
2014/09/04,1393/06/13,31690,31650,31850,31810
2014/09/05,1393/06/14,31830,31720,31850,31740
2014/09/06,1393/06/15,31720,31540,31760,31570
2014/09/07,1393/06/16,31550,31510,31690,31680
2014/09/08,1393/06/17,31690,31670,31980,31980
2014/09/09,1393/06/18,32020,31740,32030,31750
2014/09/10,1393/06/19,31760,31680,31860,31790
2014/09/11,1393/06/20,31800,31780,31860,31840
2014/09/12,1393/06/21,31830,31830,31870,31860
2014/09/13,1393/06/22,31870,31740,31940,31760
2014/09/14,1393/06/23,31750,31730,31930,31910
2014/09/15,1393/06/24,31920,31850,32010,31980
2014/09/16,1393/06/25,32000,31870,32090,31920
2014/09/17,1393/06/26,31930,31910,32180,32140
2014/09/18,1393/06/27,32130,31960,32160,32010
2014/09/19,1393/06/28,32000,31970,32010,31990
2014/09/20,1393/06/29,31980,31780,32000,31780
2014/09/21,1393/06/30,31790,31670,31830,31670
2014/09/22,1393/06/31,31680,31650,31740,31710
2014/09/23,1393/07/01,31770,31760,31930,31880
2014/09/24,1393/07/02,31910,31900,32060,31940
2014/09/25,1393/07/03,31910,31910,32020,32000
2014/09/26,1393/07/04,32010,31940,32010,32000
2014/09/27,1393/07/05,32010,32010,32480,32480
2014/09/28,1393/07/06,32550,32460,32680,32640
2014/09/29,1393/07/07,32610,32350,32610,32350
2014/09/30,1393/07/08,32320,32230,32460,32410
2014/10/01,1393/07/09,32470,32420,32570,32430
2014/10/02,1393/07/10,32460,32310,32460,32400
2014/10/03,1393/07/11,32390,32380,32440,32430
2014/10/04,1393/07/12,32400,32350,32440,32410
2014/10/05,1393/07/13,32400,32290,32400,32310
2014/10/06,1393/07/14,32360,32250,32360,32310
2014/10/07,1393/07/15,32300,32300,32450,32390
2014/10/08,1393/07/16,32420,32350,32420,32370
2014/10/09,1393/07/17,32410,32410,32510,32480
2014/10/10,1393/07/18,32500,32470,32510,32500
2014/10/11,1393/07/19,32560,32410,32610,32430
2014/10/12,1393/07/20,32450,32390,32510,32500
2014/10/13,1393/07/21,32510,32480,32530,32520
2014/10/14,1393/07/22,32510,32400,32550,32530
2014/10/15,1393/07/23,32550,32440,32570,32440
2014/10/16,1393/07/24,32450,32440,32560,32500
2014/10/17,1393/07/25,32470,32460,32510,32460
2014/10/18,1393/07/26,32480,32350,32500,32380
2014/10/19,1393/07/27,32370,32310,32390,32340
2014/10/20,1393/07/28,32360,32180,32360,32190
2014/10/21,1393/07/29,32240,32200,32300,32280
2014/10/22,1393/07/30,32290,32220,32320,32220
2014/10/23,1393/08/01,32250,32220,32280,32280
2014/10/24,1393/08/02,32290,32260,32310,32270
2014/10/25,1393/08/03,32260,32090,32270,32100
2014/10/26,1393/08/04,32110,32080,32190,32170
2014/10/27,1393/08/05,32220,32210,32370,32360
2014/10/28,1393/08/06,32370,32280,32450,32450
2014/10/29,1393/08/07,32420,32340,32430,32390
2014/10/30,1393/08/08,32380,32360,32450,32450
2014/10/31,1393/08/09,32480,32480,32530,32520
2014/11/01,1393/08/10,32490,32460,32550,32460
2014/11/02,1393/08/11,32480,32410,32540,32530
2014/11/05,1393/08/14,32550,32500,32580,32550
2014/11/06,1393/08/15,32560,32500,32580,32500
2014/11/07,1393/08/16,32490,32460,32510,32510
2014/11/08,1393/08/17,32460,32450,32650,32570
2014/11/09,1393/08/18,32580,32450,32580,32480
2014/11/10,1393/08/19,32470,32400,32540,32540
2014/11/11,1393/08/20,32500,32470,32590,32580
2014/11/12,1393/08/21,32560,32500,32600,32580
2014/11/13,1393/08/22,32570,32550,32600,32560
2014/11/14,1393/08/23,32580,32550,32580,32550
2014/11/15,1393/08/24,32540,32400,32550,32440
2014/11/16,1393/08/25,32460,32400,32470,32470
2014/11/17,1393/08/26,32450,32440,32470,32460
2014/11/18,1393/08/27,32440,32440,32580,32560
2014/11/19,1393/08/28,32560,32460,32560,32500
2014/11/20,1393/08/29,32510,32480,32530,32530
2014/11/21,1393/08/30,32540,32480,32540,32490
2014/11/22,1393/09/01,32480,32370,32490,32370
2014/11/23,1393/09/02,32360,32320,32460,32400
2014/11/24,1393/09/03,32420,32410,32650,32560
2014/11/25,1393/09/04,32570,32520,32620,32620
2014/11/26,1393/09/05,32630,32630,32950,32900
2014/11/27,1393/09/06,32910,32910,33210,33190
2014/11/28,1393/09/07,33210,33200,33260,33250
2014/11/29,1393/09/08,33260,33260,34310,34210
2014/11/30,1393/09/09,34180,34000,35300,34610
2014/12/01,1393/09/10,34600,33580,34600,33670
2014/12/02,1393/09/11,33680,33370,33840,33580
2014/12/03,1393/09/12,33560,33550,33770,33670
2014/12/04,1393/09/13,33660,33590,33720,33700
2014/12/05,1393/09/14,33690,33680,33700,33680
2014/12/06,1393/09/15,33630,33370,33690,33430
2014/12/07,1393/09/16,33500,33470,34170,34160
2014/12/08,1393/09/17,34320,34090,34640,34250
2014/12/09,1393/09/18,34210,33990,34280,34010
2014/12/10,1393/09/19,33990,33920,34210,34190
2014/12/11,1393/09/20,34180,34140,34310,34220
2014/12/12,1393/09/21,34230,34220,34260,34260
2014/12/13,1393/09/22,34270,34240,34280,34240
2014/12/14,1393/09/23,34230,34210,34930,34900
2014/12/15,1393/09/24,34920,34000,35010,34100
2014/12/16,1393/09/25,34110,33800,34830,34800
2014/12/17,1393/09/26,34750,34750,35100,34930
2014/12/18,1393/09/27,34910,34910,35140,35000
2014/12/19,1393/09/28,35010,34940,35050,34940
2014/12/20,1393/09/29,34960,34860,35230,35100
2014/12/21,1393/09/30,35130,35060,35130,35070
2014/12/22,1393/10/01,35110,35110,35600,35530
2014/12/23,1393/10/02,35580,35550,35610,35560
2014/12/24,1393/10/03,35630,35300,35870,35730
2014/12/25,1393/10/04,35680,35500,35720,35590
2014/12/26,1393/10/05,35580,35390,35580,35390
2014/12/27,1393/10/06,35380,35380,35650,35580
2014/12/28,1393/10/07,35560,35480,35740,35530
2014/12/29,1393/10/08,35590,35440,35640,35490
2014/12/30,1393/10/09,35500,35120,35560,35210
2014/12/31,1393/10/10,35200,34920,35200,35010
2015/01/01,1393/10/11,35000,34950,35030,35010
2015/01/02,1393/10/12,35000,34950,35000,34960
2015/01/03,1393/10/13,34930,34770,35100,35090
2015/01/04,1393/10/14,35080,35080,35440,35210
2015/01/05,1393/10/15,35220,35060,35330,35120
2015/01/06,1393/10/16,35140,35130,35260,35240
2015/01/07,1393/10/17,35260,35110,35260,35130
2015/01/08,1393/10/18,35140,35000,35140,35000
2015/01/09,1393/10/19,35020,34960,35020,34970
2015/01/10,1393/10/20,34980,34880,35090,34940
2015/01/11,1393/10/21,34930,34830,34960,34860
2015/01/12,1393/10/22,34850,34660,34860,34700
2015/01/13,1393/10/23,34690,34460,34690,34500
2015/01/14,1393/10/24,34490,34380,34570,34520
2015/01/15,1393/10/25,34530,34500,34580,34500
2015/01/16,1393/10/26,34490,34430,34490,34450
2015/01/17,1393/10/27,34440,34380,34500,34460
2015/01/18,1393/10/28,34490,34490,34700,34670
2015/01/19,1393/10/29,34720,34720,35210,35140
2015/01/20,1393/10/30,35110,34680,35110,34740
2015/01/21,1393/11/01,34620,34420,34680,34610
2015/01/22,1393/11/02,34660,34540,34660,34570
2015/01/24,1393/11/04,34600,34430,34600,34430
2015/01/25,1393/11/05,34480,34480,34700,34650
2015/01/26,1393/11/06,34640,34610,34900,34690
2015/01/27,1393/11/07,34700,34600,34730,34600
2015/01/28,1393/11/08,34590,34560,34670,34560
2015/01/29,1393/11/09,34570,34530,34640,34560
2015/01/31,1393/11/11,34620,34510,34620,34570
2015/02/01,1393/11/12,34590,34520,34620,34550
2015/02/02,1393/11/13,34570,34540,34580,34560
2015/02/03,1393/11/14,34570,34540,34570,34560
2015/02/04,1393/11/15,34550,34400,34560,34430
2015/02/05,1393/11/16,34410,34270,34410,34320
2015/02/07,1393/11/18,34330,34160,34330,34190
2015/02/08,1393/11/19,34160,33880,34160,34090
2015/02/09,1393/11/20,34080,34080,34370,34310
2015/02/10,1393/11/21,34280,34210,34320,34300
2015/02/12,1393/11/23,34320,34250,34320,34290
2015/02/14,1393/11/25,34320,34260,34350,34320
2015/02/15,1393/11/26,34310,34260,34320,34300
2015/02/16,1393/11/27,34310,34190,34310,34220
2015/02/17,1393/11/28,34200,33980,34200,34020
2015/02/18,1393/11/29,34040,34010,34150,34140
2015/02/19,1393/11/30,34180,34120,34210,34140
2015/02/21,1393/12/02,34130,34040,34150,34070
2015/02/22,1393/12/03,34080,34060,34220,34220
2015/02/23,1393/12/04,34200,34200,34410,34350
2015/02/24,1393/12/05,34370,34290,34370,34340
2015/02/25,1393/12/06,34350,34330,34450,34360
2015/02/26,1393/12/07,34390,34300,34410,34350
2015/02/27,1393/12/08,34310,34310,34310,34310
2015/02/28,1393/12/09,34290,34160,34330,34240
2015/03/01,1393/12/10,34260,34190,34280,34260
2015/03/02,1393/12/11,34250,34240,34290,34250
2015/03/03,1393/12/12,34260,34070,34260,34170
2015/03/04,1393/12/13,34180,34110,34200,34200
2015/03/05,1393/12/14,34160,34130,34180,34130
2015/03/07,1393/12/16,34120,33940,34120,33990
2015/03/08,1393/12/17,34020,33930,34060,34060
2015/03/09,1393/12/18,34050,33960,34060,33960
2015/03/10,1393/12/19,33980,33820,33980,33840
2015/03/11,1393/12/20,33800,33330,33800,33360
2015/03/12,1393/12/21,33410,32960,33410,33240
2015/03/13,1393/12/22,33170,32950,33170,32990
2015/03/14,1393/12/23,32960,32200,32960,32200
2015/03/15,1393/12/24,32180,31600,32670,32410
2015/03/16,1393/12/25,32440,32400,33150,32810
2015/03/17,1393/12/26,32870,32870,33860,33530
2015/03/18,1393/12/27,33530,33350,33760,33490
2015/03/19,1393/12/28,33580,32950,33700,33380
2015/03/23,1394/01/03,33560,33560,33560,33560
2015/03/24,1394/01/04,33600,33600,33600,33600
2015/03/25,1394/01/05,33560,33560,34280,33930
2015/03/26,1394/01/06,33980,33890,34030,33930
2015/03/28,1394/01/08,33810,32730,33810,32960
2015/03/29,1394/01/09,32970,32610,33180,33100
2015/03/30,1394/01/10,33110,32990,33340,33240
2015/03/31,1394/01/11,33190,32880,33390,33070
2015/04/01,1394/01/12,32890,32890,33300,33300
2015/04/02,1394/01/13,33230,32250,33230,32350
2015/04/03,1394/01/14,32340,31710,32340,31880
2015/04/04,1394/01/15,31850,31710,32700,32690
2015/04/05,1394/01/16,32760,32670,32990,32840
2015/04/06,1394/01/17,32820,32600,32890,32860
2015/04/07,1394/01/18,32840,32840,33170,33140
2015/04/08,1394/01/19,33170,32930,33330,32930
2015/04/09,1394/01/20,32910,32860,33090,32900
2015/04/11,1394/01/22,32950,32950,33560,33520
2015/04/12,1394/01/23,33570,33390,33850,33390
2015/04/13,1394/01/24,33420,33340,33580,33380
2015/04/14,1394/01/25,33480,33270,33530,33450
2015/04/15,1394/01/26,33440,33440,33710,33580
2015/04/16,1394/01/27,33590,33450,33620,33480
2015/04/17,1394/01/28,33490,33420,33490,33420
2015/04/18,1394/01/29,33440,33330,33450,33360
2015/04/19,1394/01/30,33340,33310,33440,33390
2015/04/20,1394/01/31,33450,33350,33450,33390
2015/04/21,1394/02/01,33400,33370,33450,33390
2015/04/22,1394/02/02,33380,33310,33390,33360
2015/04/23,1394/02/03,33370,33310,33390,33330
2015/04/24,1394/02/04,33340,33330,33340,33330
2015/04/25,1394/02/05,33320,33210,33340,33220
2015/04/26,1394/02/06,33200,33190,33350,33300
2015/04/27,1394/02/07,33340,33340,33430,33350
2015/04/28,1394/02/08,33360,33310,33390,33380
2015/04/29,1394/02/09,33390,33340,33410,33360
2015/04/30,1394/02/10,33370,33330,33400,33390
2015/05/01,1394/02/11,33400,33390,33400,33390
2015/05/03,1394/02/13,33410,33350,33430,33390
2015/05/04,1394/02/14,33400,33250,33400,33250
2015/05/05,1394/02/15,33230,33170,33270,33270
2015/05/06,1394/02/16,33250,33190,33320,33300
2015/05/07,1394/02/17,33310,33280,33320,33290
2015/05/08,1394/02/18,33300,33300,33300,33300
2015/05/09,1394/02/19,33290,33210,33300,33210
2015/05/10,1394/02/20,33220,33140,33220,33180
2015/05/11,1394/02/21,33170,33110,33190,33160
2015/05/12,1394/02/22,33120,33070,33170,33160
2015/05/13,1394/02/23,33180,33150,33270,33190
2015/05/14,1394/02/24,33180,33170,33200,33200
2015/05/15,1394/02/25,33190,33190,33190,33190
2015/05/16,1394/02/26,33200,33190,33200,33190
2015/05/17,1394/02/27,33150,33090,33160,33100
2015/05/18,1394/02/28,33040,33040,33080,33070
2015/05/19,1394/02/29,33060,32980,33080,32980
2015/05/20,1394/02/30,32990,32770,33020,32830
2015/05/21,1394/02/31,32940,32850,33050,32850
2015/05/23,1394/03/02,32960,32960,33100,32970
2015/05/24,1394/03/03,33000,32950,33050,32950
2015/05/25,1394/03/04,33070,32930,33130,32930
2015/05/26,1394/03/05,33110,33000,33150,33000
2015/05/27,1394/03/06,33070,33000,33150,33000
2015/05/28,1394/03/07,33100,32980,33220,32980
2015/05/30,1394/03/09,33100,33080,33320,33080
2015/05/31,1394/03/10,33200,33160,33320,33190
2015/06/01,1394/03/11,33200,33100,33210,33130
2015/06/02,1394/03/12,33160,33100,33220,33130
2015/06/06,1394/03/16,33180,33110,33230,33110
2015/06/07,1394/03/17,33130,33070,33130,33080
2015/06/08,1394/03/18,33140,33100,33160,33100
2015/06/09,1394/03/19,33110,33080,33160,33080
2015/06/10,1394/03/20,33120,33080,33170,33080
2015/06/11,1394/03/21,33100,33050,33110,33050
2015/06/13,1394/03/23,33080,33040,33100,33040
2015/06/14,1394/03/24,33020,32920,33020,32920
2015/06/15,1394/03/25,32910,32820,32910,32820
2015/06/16,1394/03/26,32750,32690,32850,32850
2015/06/17,1394/03/27,32860,32820,32920,32850
2015/06/18,1394/03/28,32840,32780,32840,32780
2015/06/20,1394/03/30,32790,32700,32790,32710
2015/06/21,1394/03/31,32730,32680,32770,32720
2015/06/22,1394/04/01,32650,32600,32670,32620
2015/06/23,1394/04/02,32630,32580,32660,32660
2015/06/24,1394/04/03,32680,32660,32850,32750
2015/06/25,1394/04/04,32850,32750,32880,32750
2015/06/27,1394/04/06,32860,32860,33070,33030
2015/06/28,1394/04/07,33080,33000,33380,33000
2015/06/29,1394/04/08,33170,33000,33330,33000
2015/06/30,1394/04/09,32980,32870,33110,32990
2015/07/01,1394/04/10,33230,33090,33330,33090
2015/07/02,1394/04/11,33040,32940,33060,32950
2015/07/04,1394/04/13,33020,33000,33180,33040
2015/07/05,1394/04/14,33130,32900,33130,32950
2015/07/06,1394/04/15,32970,32700,32970,32720
2015/07/07,1394/04/16,32560,32420,32690,32480
